OffspringNUM;Sexo;Morph;nacimiento;year;Nido;Ring;location_1;location_9sites;location_3sites;location_4sites;age;breeding;success;SEX01;MORPH01;prod;prodBIRTHyr;wind;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist;avgAGE;deltaAGE;Metal
3;M;B;NA;2007;EC-15-07;MetAmAzAm;ECE;ECE;cald;caldEX;NA;SI;1;1;0;1.64;NA;-0.06246138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_6vApsCjd
2;M;N;NA;2013;ECE-7-13;MetNaNeAz;ECE;ECE;cald;caldEX;6;SI;1;1;1;1.57;1.64;0.290908371;-0.06246138;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-2;EF_L82vrjYV
4;M;N;NA;2017;ECE-11-17;MetNaNeAz;ECE;ECE;cald;caldEX;10;SI;1;1;1;2.12;1.64;-3.232740274;-0.06246138;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2;EF_L82vrjYV
0;M;B;NA;2014;EL-11-14;AzFW;EL;EL;rapalobos;rapalobos;NA;NO;0;1;0;0;NA;2.7273725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_bhExxuZw
2;M;B;2007;2012;ER-14-12;A86;ER;ER;rapalobos;rapalobos;5;SI;1;1;0;1.23;1.64;0.60649199;-0.06246138;141;68;49;37.19;350;0;NA;11;2071.43;6.5;-1.5;EF_7tj7iYJK
2;M;B;2007;2015;ER-6-15;Az86;ER;ER;rapalobos;rapalobos;8;SI;1;1;0;1.32;1.64;-0.387763242;-0.06246138;141;68;49;37.19;350;0;NA;11;2071.43;6.5;1.5;EF_7tj7iYJK
2;H;B;2007;2011;ER-3-11;BR3;ER;ER;rapalobos;rapalobos;4;SI;1;0;0;1.79;1.64;-1.552280924;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;-3;EF_pjovk7Wn
2;H;B;2007;2012;ER-3-12;BlR3;ER;ER;rapalobos;rapalobos;5;SI;1;0;0;1.23;1.64;0.60649199;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;-2;EF_pjovk7Wn
3;H;B;2007;2013;ER-3-13;BR3;ER;ER;rapalobos;rapalobos;6;SI;1;0;0;1.57;1.64;0.290908371;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;-1;EF_pjovk7Wn
2;H;B;2007;2015;ER-3-15;BR3;ER;ER;rapalobos;rapalobos;8;SI;1;0;0;1.32;1.64;-0.387763242;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;1;EF_pjovk7Wn
2;H;B;2007;2016;ER-5-16;BR3;ER;ER;rapalobos;rapalobos;9;SI;1;0;0;2.11;1.64;-2.954813904;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;2;EF_pjovk7Wn
3;H;B;2007;2017;ER-2-17;BR3;ER;ER;rapalobos;rapalobos;10;SI;1;0;0;2.12;1.64;-3.232740274;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06;7;3;EF_pjovk7Wn
2;M;B;2011;2017;EL-11-17;A0U;EL;EL;rapalobos;rapalobos;6;SI;1;1;0;2.12;1.79;-3.232740274;-1.552280924;129;60;32;33.6;320;1;19.59;17;439.62;7;-1;EF_CJm8uq5F
2;M;B;2011;2018;EL-9-18;A0U;EL;EL;rapalobos;rapalobos;7;SI;1;1;0;1.53;1.79;-1.85072484;-1.552280924;129;60;32;33.6;320;1;19.59;17;439.62;7;0;EF_CJm8uq5F
3;M;B;2011;2019;EL-10-19;A0U;EL;EL;rapalobos;rapalobos;8;SI;1;1;0;1.98;1.79;-1.910949707;-1.552280924;129;60;32;33.6;320;1;19.59;22;439.62;7;1;EF_CJm8uq5F
3;M;B;2011;2016;ECE-8-16;A10;ECE;ECE;cald;caldEX;5;SI;1;1;0;2.11;1.79;-2.954813904;-1.552280924;103;36;22;33.18;262;0;15.97;12;230.21;7.5;-2.5;EF_HHZojq6R
0;M;B;2011;2021;ECE-10-21;A10;ECE;ECE;rapalobos;rapalobos;10;NO;0;1;0;1.05;1.79;-0.074727389;-1.552280924;103;36;22;33.18;262;0;15.97;12;230.21;7.5;2.5;EF_HHZojq6R
1;M;N;2011;2017;ECE-8-17;A15;ECE;ECE;cald;caldEX;6;SI;1;1;1;2.12;1.79;-3.232740274;-1.552280924;137;63;44;35.97;322;0;28.93;12;368.29;6.5;-0.5;EF_5KSmhs2B
1;M;N;2011;2018;ECE-17-18;A15;ECE;ECE;cald;caldEX;7;SI;1;1;1;1.53;1.79;-1.85072484;-1.552280924;137;63;44;35.97;322;0;28.93;21;368.29;6.5;0.5;EF_5KSmhs2B
2;H;B;2009;2015;ECE-2-15;B0B;ECE;ECE;cald;caldEX;6;SI;1;0;0;1.32;1.68;-0.387763242;-1.245007128;173;94;68;NA;372.5;0;26.74;26;896.64;8.25;-2.25;EF_HCjoagw2
1;H;B;2009;2016;ECE-2-16;Bl0B;ECE;ECE;cald;caldEX;7;SI;1;0;0;2.11;1.68;-2.954813904;-1.245007128;173;94;68;NA;372.5;0;26.74;26;896.64;8.25;-1.25;EF_HCjoagw2
1;H;B;2009;2018;ECE-1-18;B0B;ECE;ECE;cald;caldEX;9;SI;1;0;0;1.53;1.68;-1.85072484;-1.245007128;173;94;68;NA;372.5;0;26.74;20;896.64;8.25;0.75;EF_HCjoagw2
0;H;B;2009;2020;ECE-10-20;B0B;ECE;ECE;cald;caldEX;11;NO;0;0;0;1.83;1.68;-1.075666206;-1.245007128;173;94;68;NA;372.5;0;26.74;22;896.64;8.25;2.75;EF_HCjoagw2
1;M;B;2009;2013;ER-22-13;B0G;ER;ER;rapalobos;rapalobos;4;SI;1;1;0;1.57;1.68;0.290908371;-1.245007128;172;91;71;35.77;405;2;26.57;22;3361.72;9.333333333;-5.333333333;EF_rT4Gq97g
2;M;B;2009;2015;ER-22-15;B0G;ER;ER;rapalobos;rapalobos;6;SI;1;1;0;1.32;1.68;-0.387763242;-1.245007128;172;91;71;35.77;405;2;26.57;22;3361.72;9.333333333;-3.333333333;EF_rT4Gq97g
2;M;B;2009;2019;ER-2-19;Bl0G;ER;ER;rapalobos;rapalobos;10;SI;1;1;0;1.98;1.68;-1.910949707;-1.245007128;172;91;71;35.77;405;2;26.57;29;3361.72;9.333333333;0.666666667;EF_rT4Gq97g
3;M;B;2009;2020;ER-4-20;Bl0G;ER;ER;rapalobos;rapalobos;11;SI;1;1;0;1.83;1.68;-1.075666206;-1.245007128;172;91;71;35.77;405;2;26.57;11;3361.72;9.333333333;1.666666667;EF_rT4Gq97g
2;M;B;2009;2021;ER-2-21;B0G;ER;ER;rapalobos;rapalobos;12;SI;1;1;0;1.05;1.68;-0.074727389;-1.245007128;172;91;71;35.77;405;2;26.57;11;3361.72;9.333333333;2.666666667;EF_rT4Gq97g
