OffspringNUM;Sexo;Morph;avgAGE;seqPLOTavg
2;f;B;2;1
2;f;B;2;1
1;f;B;2;1
1;f;B;2;1
2;f;B;2;1
0;f;B;2;1
0;f;B;2;1
0;f;B;2;1
2;f;B;2.5;1
2;f;B;2.5;1
1;f;B;3;1
1;f;B;3;1
2;f;B;3;1
2;f;B;3;1
1;f;B;3;1
1;f;B;3;1
1;f;B;3;1
2;f;B;3;1
0;f;B;3;1
1;f;B;3;1
0;f;B;3;1
0;f;B;3;2
1;f;B;3;2
1;f;B;3;2
2;f;B;3;2
0;f;B;3.333333333;2
2;f;B;3.333333333;2
0;f;B;3.5;2
0;f;B;3.5;2
0;f;B;3.5;2
0;f;B;3.5;2
2;f;B;3.5;2
1;f;B;3.5;2
1;f;B;3.75;2
1;f;B;3.75;2
1;f;B;3.75;2
2;f;B;3.75;2
2;f;B;4;2
3;f;B;4;2
0;f;B;4;2
1;f;B;4;2
1;f;B;4;2
1;f;B;4;3
2;f;B;4;3
0;f;B;4;3
1;f;B;4;3
0;f;B;4;3
2;f;B;4.25;3
3;f;B;4.25;3
0;f;B;4.25;3
0;f;B;4.25;3
1;f;B;4.25;3
0;f;B;4.25;3
1;f;B;4.25;3
2;f;B;4.25;3
2;f;B;4.333333333;3
3;f;B;4.333333333;3
0;f;B;4.333333333;3
0;f;B;4.333333333;3
2;f;B;4.333333333;3
2;f;B;4.333333333;3
0;f;B;4.5;3
2;f;B;4.5;3
3;f;B;4.5;4
1;f;B;4.5;4
3;f;B;4.5;4
0;f;B;4.5;4
2;f;B;4.5;4
0;f;B;4.5;4
3;f;B;4.5;4
0;f;B;4.5;4
2;f;B;4.5;4
2;f;B;4.5;4
2;f;B;4.5;4
1;f;B;4.5;4
0;f;B;4.5;4
2;f;B;4.5;4
2;f;B;4.5;4
0;f;B;4.5;4
1;f;B;4.5;4
1;f;B;4.5;4
0;f;B;4.5;4
2;f;B;4.5;4
1;f;B;4.6;4
2;f;B;4.6;5
3;f;B;4.6;5
2;f;B;4.6;5
2;f;B;4.666666667;5
0;f;B;4.666666667;5
2;f;B;4.8;5
2;f;B;4.8;5
1;f;B;4.8;5
1;f;B;4.8;5
1;f;B;4.8;5
2;f;B;5;5
2;f;B;5;5
2;f;B;5;5
0;f;B;5;5
2;f;B;5;5
2;f;B;5;5
2;f;B;5;5
1;f;B;5;5
2;f;B;5;5
2;f;B;5;5
2;f;B;5;5
2;f;B;5;6
2;f;B;5;6
1;f;B;5;6
2;f;B;5;6
3;f;B;5;6
2;f;B;5;6
0;f;B;5;6
0;f;B;5;6
0;f;B;5;6
1;f;B;5;6
3;f;B;5;6
0;f;B;5;6
1;f;B;5;6
0;f;B;5;6
1;f;B;5.333333333;6
2;f;B;5.333333333;6
2;f;B;5.333333333;6
1;f;B;5.333333333;6
2;f;B;5.333333333;6
2;f;B;5.333333333;6
1;f;B;5.333333333;6
0;f;B;5.333333333;7
1;f;B;5.5;7
2;f;B;5.5;7
2;f;B;5.5;7
1;f;B;5.5;7
2;f;B;5.5;7
2;f;B;5.5;7
3;f;B;5.5;7
1;f;B;5.5;7
1;f;B;5.5;7
1;f;B;6;7
3;f;B;6;7
3;f;B;6;7
2;f;B;6;7
0;f;B;6;7
2;f;B;7;7
2;f;B;7;7
3;f;B;7;7
2;f;B;7;7
2;f;B;7;7
3;f;B;7;7
2;f;B;7;8
2;f;B;7;8
2;f;B;7;8
2;f;B;7;8
3;f;B;7;8
2;f;B;7.166666667;8
3;f;B;7.166666667;8
1;f;B;7.166666667;8
0;f;B;7.166666667;8
1;f;B;7.166666667;8
2;f;B;7.333333333;8
3;f;B;7.333333333;8
2;f;B;7.333333333;8
3;f;B;7.333333333;8
2;f;B;7.333333333;8
2;f;B;7.333333333;8
1;f;B;7.333333333;8
1;f;B;7.333333333;8
1;f;B;7.333333333;8
3;f;B;7.333333333;8
1;f;B;7.333333333;8
0;f;B;7.333333333;9
2;f;B;7.5;9
2;f;B;7.5;9
3;f;B;7.5;9
1;f;B;7.5;9
2;f;B;7.571428571;9
2;f;B;7.571428571;9
3;f;B;7.571428571;9
2;f;B;7.571428571;9
3;f;B;7.571428571;9
1;f;B;8;9
2;f;B;8;9
1;f;B;8;9
2;f;B;8;9
1;f;B;8;9
2;f;B;8;9
2;f;B;8;9
2;f;B;8.2;9
3;f;B;8.2;9
2;f;B;8.2;9
3;f;B;8.2;9
1;f;B;8.2;10
2;f;B;8.25;10
1;f;B;8.25;10
1;f;B;8.25;10
0;f;B;8.25;10
1;f;B;8.333333333;10
2;f;B;8.333333333;10
2;f;B;8.375;10
3;f;B;8.375;10
2;f;B;8.375;10
2;f;B;8.375;10
2;f;B;8.375;10
2;f;B;8.375;10
2;f;B;8.375;10
2;f;B;8.5;10
2;f;B;8.5;10
2;f;B;8.625;10
3;f;B;8.625;10
3;f;B;8.625;10
2;f;B;8.625;11
3;f;B;8.625;11
0;f;B;8.625;11
1;f;B;8.625;11
0;f;B;9;11
1;f;B;9;11
2;f;B;9;11
1;f;B;9;11
2;f;B;9;11
3;f;B;9;11
1;f;B;9;11
1;f;B;9;11
3;f;B;10.33333333;11
3;f;B;10.33333333;11
0;f;B;10.33333333;11
2;f;B;11.75;11
1;f;B;11.75;11
2;f;B;11.75;11
1;f;B;11.75;11
0;m;B;2;12
0;m;B;2.5;12
2;m;B;2.5;12
2;m;B;2.5;12
1;m;B;3;12
2;m;B;3;12
0;m;B;3;12
0;m;B;3;12
3;m;B;3;12
2;m;B;3;12
2;m;B;3;12
1;m;B;3;12
2;m;B;3;12
0;m;B;3;12
0;m;B;3;12
1;m;B;3;12
0;m;B;3;12
1;m;B;3;12
0;m;B;3.333333333;12
3;m;B;3.5;12
2;m;B;3.5;12
3;m;B;3.5;13
1;m;B;3.5;13
1;m;B;3.5;13
0;m;B;3.5;13
0;m;B;3.5;13
1;m;B;4;13
0;m;B;4;13
2;m;B;4;13
0;m;B;4;13
1;m;B;4;13
0;m;B;4;13
1;m;B;4;13
1;m;B;4;13
1;m;B;4;13
1;m;B;4;13
1;m;B;4;13
1;m;B;4;13
3;m;B;4;13
2;m;B;4;13
2;m;B;4;13
2;m;B;4;13
0;m;B;4;14
2;m;B;4;14
1;m;B;4;14
1;m;B;4;14
0;m;B;4;14
1;m;B;4;14
0;m;B;4;14
1;m;B;4;14
1;m;B;4.25;14
1;m;B;4.25;14
2;m;B;4.25;14
1;m;B;4.5;14
2;m;B;4.5;14
1;m;B;4.5;14
1;m;B;4.5;14
2;m;B;4.5;14
1;m;B;4.6;14
1;m;B;4.6;14
1;m;B;4.6;14
0;m;B;4.6;14
2;m;B;4.666666667;14
1;m;B;4.666666667;15
0;m;B;4.666666667;15
2;m;B;5;15
0;m;B;5;15
0;m;B;5;15
0;m;B;5;15
2;m;B;5;15
2;m;B;5;15
2;m;B;5;15
1;m;B;5;15
2;m;B;5;15
3;m;B;5;15
2;m;B;5;15
3;m;B;5;15
2;m;B;5;15
2;m;B;5;15
2;m;B;5;15
0;m;B;5;15
1;m;B;5;15
0;m;B;5;15
2;m;B;5;15
1;m;B;5;16
1;m;B;5;16
3;m;B;5;16
2;m;B;5;16
1;m;B;5;16
0;m;B;5;16
1;m;B;5;16
2;m;B;5;16
1;m;B;5;16
1;m;B;5;16
1;m;B;5;16
1;m;B;5;16
0;m;B;5;16
2;m;B;5.5;16
1;m;B;5.5;16
1;m;B;5.5;16
2;m;B;5.5;16
3;m;B;5.5;16
0;m;B;5.5;16
2;m;B;5.5;16
2;m;B;5.666666667;16
2;m;B;5.666666667;17
3;m;B;5.666666667;17
2;m;B;5.75;17
1;m;B;5.75;17
3;m;B;5.75;17
2;m;B;5.75;17
0;m;B;6;17
2;m;B;6;17
2;m;B;6;17
1;m;B;6;17
3;m;B;6;17
3;m;B;6;17
1;m;B;6;17
0;m;B;6;17
0;m;B;6;17
1;m;B;6;17
1;m;B;6;17
0;m;B;6;17
2;m;B;6.5;17
2;m;B;6.5;17
2;m;B;6.5;17
3;m;B;6.5;18
2;m;B;6.5;18
2;m;B;6.5;18
2;m;B;6.5;18
2;m;B;6.5;18
2;m;B;6.5;18
3;m;B;6.5;18
1;m;B;6.6;18
2;m;B;6.6;18
3;m;B;6.6;18
3;m;B;6.6;18
3;m;B;6.6;18
1;m;B;6.75;18
1;m;B;6.75;18
1;m;B;6.75;18
3;m;B;6.75;18
2;m;B;7;18
2;m;B;7;18
3;m;B;7;18
1;m;B;7;18
2;m;B;7;18
0;m;B;7;19
2;m;B;7;19
2;m;B;7;19
1;m;B;7;19
2;m;B;7;19
2;m;B;7.333333333;19
2;m;B;7.333333333;19
3;m;B;7.333333333;19
3;m;B;7.5;19
0;m;B;7.5;19
2;m;B;7.5;19
2;m;B;7.5;19
1;m;B;7.6;19
2;m;B;7.6;19
2;m;B;7.6;19
0;m;B;7.6;19
3;m;B;7.6;19
3;m;B;7.666666667;19
0;m;B;7.666666667;19
2;m;B;7.666666667;19
3;m;B;7.666666667;19
2;m;B;7.666666667;20
3;m;B;7.666666667;20
1;m;B;7.666666667;20
2;m;B;7.666666667;20
2;m;B;7.666666667;20
2;m;B;8;20
2;m;B;8;20
2;m;B;8;20
2;m;B;8;20
2;m;B;8;20
1;m;B;8;20
0;m;B;8;20
2;m;B;8;20
1;m;B;8;20
2;m;B;8;20
2;m;B;8;20
1;m;B;8;20
2;m;B;8.666666667;20
1;m;B;8.666666667;20
2;m;B;8.666666667;20
0;m;B;8.857142857;20
0;m;B;8.857142857;21
3;m;B;8.857142857;21
3;m;B;8.857142857;21
1;m;B;8.857142857;21
3;m;B;8.857142857;21
2;m;B;9;21
0;m;B;9;21
0;m;B;9;21
2;m;B;9;21
2;m;B;9;21
2;m;B;9;21
3;m;B;9;21
2;m;B;9;21
1;m;B;9;21
3;m;B;9;21
2;m;B;9;21
1;m;B;9;21
2;m;B;9;21
0;m;B;9;21
2;m;B;9;21
2;m;B;9.142857143;22
3;m;B;9.142857143;22
3;m;B;9.142857143;22
3;m;B;9.142857143;22
2;m;B;9.142857143;22
2;m;B;9.142857143;22
1;m;B;9.333333333;22
2;m;B;9.333333333;22
2;m;B;9.333333333;22
3;m;B;9.333333333;22
2;m;B;9.333333333;22
0;m;B;9.333333333;22
1;m;B;9.5;22
3;m;B;9.5;22
3;m;B;10.33333333;22
2;m;B;10.33333333;22
2;m;B;11.66666667;22
1;m;B;11.66666667;22
0;m;B;11.66666667;22
2;f;N;3.5;23
2;f;N;3.5;23
1;f;N;3.5;23
0;f;N;4;24
2;f;N;4;24
2;f;N;4;24
0;f;N;4;25
0;f;N;4;25
2;f;N;4;25
1;f;N;4.5;26
2;f;N;4.5;26
2;f;N;4.5;26
1;f;N;4.5;27
2;f;N;4.5;27
1;f;N;5.5;27
2;f;N;5.5;28
3;f;N;5.5;28
1;f;N;5.5;28
3;f;N;5.5;29
3;f;N;5.5;29
1;f;N;5.5;29
1;f;N;5.5;30
0;f;N;7.571428571;30
2;f;N;8.2;30
3;f;N;8.2;31
2;f;N;8.2;31
3;f;N;8.2;31
2;f;N;8.2;32
3;f;N;13;32
1;m;N;3;33
2;m;N;3;33
0;m;N;3;33
0;m;N;3;33
1;m;N;3;33
2;m;N;3;33
0;m;N;3.5;33
0;m;N;4;33
2;m;N;4;34
2;m;N;4;34
0;m;N;4;34
2;m;N;4;34
1;m;N;4.333333333;34
2;m;N;4.333333333;34
3;m;N;4.333333333;34
3;m;N;4.5;34
3;m;N;4.5;35
0;m;N;4.5;35
0;m;N;4.5;35
2;m;N;4.5;35
0;m;N;4.5;35
1;m;N;4.5;35
1;m;N;4.857142857;35
2;m;N;4.857142857;35
3;m;N;4.857142857;36
1;m;N;4.857142857;36
1;m;N;4.857142857;36
2;m;N;4.857142857;36
1;m;N;5;36
2;m;N;5;36
1;m;N;5;36
2;m;N;5;36
2;m;N;5;37
2;m;N;5;37
2;m;N;5;37
0;m;N;5;37
0;m;N;5;37
1;m;N;5;37
0;m;N;5.333333333;37
2;m;N;5.333333333;37
0;m;N;5.333333333;38
3;m;N;5.5;38
2;m;N;5.5;38
2;m;N;5.5;38
2;m;N;5.5;38
1;m;N;5.75;38
1;m;N;5.75;38
3;m;N;5.75;38
2;m;N;5.75;39
1;m;N;6.5;39
1;m;N;6.5;39
1;m;N;7;39
2;m;N;7;39
3;m;N;7;39
1;m;N;7;39
2;m;N;7;39
2;m;N;7;40
1;m;N;7;40
2;m;N;7;40
2;m;N;7;40
3;m;N;7;40
2;m;N;7;40
2;m;N;7;40
3;m;N;7;40
2;m;N;7;41
1;m;N;7;41
2;m;N;7.25;41
2;m;N;7.25;41
2;m;N;7.25;41
2;m;N;7.25;41
1;m;N;7.5;41
1;m;N;7.5;41
3;m;N;7.5;42
1;m;N;7.5;42
2;m;N;7.5;42
3;m;N;7.5;42
2;m;N;8;42
3;m;N;8;42
2;m;N;8;42
2;m;N;8;42
2;m;N;8;42
