Metal;lrs;lifespan;Sexo;Morph;nacimiento;SEX01;MORPH01;prodBIRTHyr;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist
1;3;NA;M;B;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;6;10;M;N;NA;1;1;1.64;-0.06246138;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0;NA;M;B;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;4;8;M;B;2007;1;0;1.64;-0.06246138;141;68;49;37.19;350;0;NA;11;2071.43
5;14;10;H;B;2007;0;0;1.64;-0.06246138;85;26;12;34.85;260;0;NA;15;3250.06
6;7;8;M;B;2011;1;0;1.79;-1.552280924;129;60;32;33.6;320;1;19.59;17;439.62
7;7;8;M;B;2011;1;0;1.79;-1.552280924;129;60;32;33.6;320;1;19.59;22;439.62
8;3;10;M;B;2011;1;0;1.79;-1.552280924;103;36;22;33.18;262;0;15.97;12;230.21
9;2;7;M;N;2011;1;1;1.79;-1.552280924;137;63;44;35.97;322;0;28.93;12;368.29
10;2;7;M;N;2011;1;1;1.79;-1.552280924;137;63;44;35.97;322;0;28.93;21;368.29
11;4;11;H;B;2009;0;0;1.68;-1.245007128;173;94;68;NA;372.5;0;26.74;26;896.64
12;4;11;H;B;2009;0;0;1.68;-1.245007128;173;94;68;NA;372.5;0;26.74;20;896.64
13;4;11;H;B;2009;0;0;1.68;-1.245007128;173;94;68;NA;372.5;0;26.74;22;896.64
14;10;13;M;B;2009;1;0;1.68;-1.245007128;172;91;71;35.77;405;2;26.57;22;3361.72
15;10;13;M;B;2009;1;0;1.68;-1.245007128;172;91;71;35.77;405;2;26.57;29;3361.72
16;10;13;M;B;2009;1;0;1.68;-1.245007128;172;91;71;35.77;405;2;26.57;11;3361.72
17;6;6;M;N;2009;1;1;1.68;-1.245007128;203;119;NA;36.91;NA;3;31.61;11;1555.41
18;17;14;M;B;2009;1;0;1.68;-1.245007128;185;104.5;81.5;34.58;405.5;0;28.69;16;451.81
19;2;6;M;N;2009;1;1;1.68;-1.245007128;222.7;144.8;NA;NA;375;NA;34.81;33;3527.15
20;5;7;M;B;2009;1;0;1.68;-1.245007128;198;113;92;36.51;415;3;30.8;14;61.72
21;5;NA;M;B;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;7;7;M;B;2009;1;0;1.68;-1.245007128;163;81.5;59.5;35.88;355;0;25.11;27;108.85
23;8;9;M;N;2010;1;1;2.21;-1.40250537;211;128;102;36;430;NA;32.91;11;850.78
24;2;3;M;B;2010;1;0;2.21;-1.40250537;183;NA;NA;NA;420;NA;28.36;14;253.44
25;3;6;M;B;2010;1;0;2.21;-1.40250537;176;NA;NA;NA;402.5;NA;27.22;14;1019.82
26;4;9;M;B;2010;1;0;2.21;-1.40250537;189;108;85;NA;472.5;NA;29.33;14;1317.98
27;3;9;M;B;2010;1;0;2.21;-1.40250537;198;114;89;NA;430;NA;37.95;13;1225.7
28;11;10;M;N;2010;1;1;2.21;-1.40250537;240;163.5;126.5;NA;380;NA;37.61;21;421.45
29;1;6;H;B;2009;0;0;1.68;-1.245007128;123;50.5;30.5;32.86;229;0;18.62;22;2765.19
30;1;3;M;B;2009;1;0;1.68;-1.245007128;174;95;71;NA;398.5;2;26.9;29;584.76
31;4;7;M;B;2009;1;0;1.68;-1.245007128;193;111;85;34.57;367.5;4;29.98;19;842.61
32;4;7;M;B;2009;1;0;1.68;-1.245007128;190;120.5;90;33.2;306;0;29.5;20;1130.61
33;4;6;H;B;2009;0;0;1.68;-1.245007128;185;104;74;35.65;353;1;28.69;20;1747.42
34;1;5;M;B;2009;1;0;1.68;-1.245007128;190;113.5;87;35.32;320;0;29.5;20;1922.27
35;3;6;M;N;2009;1;1;1.68;-1.245007128;200;117;NA;35.54;412;NA;31.12;25;638.24
36;5;6;H;B;2009;0;0;1.68;-1.245007128;209;127;NA;NA;459;NA;32.58;26;3143.78
37;5;6;H;B;2009;0;0;1.68;-1.245007128;201;119;87;35.41;312;3;31.28;20;725.77
38;8;12;H;B;2009;0;0;1.68;-1.245007128;173;91;70;35.67;401;1;26.74;26;736.78
39;4;8;M;B;2009;1;0;1.68;-1.245007128;126;54;36;34.22;242;0;19.11;26;111.76
40;11;13;M;B;2009;1;0;1.68;-1.245007128;221;140;108;37.75;388;0;34.53;18;2290.77
41;4;3;H;B;2009;0;0;1.68;-1.245007128;188;107;73;37.37;338;0;29.17;21;1652.46
42;4;10;M;B;2009;1;0;1.68;-1.245007128;166;97;69;37.05;400;0;25.61;24;1596.14
43;0;5;M;B;2009;1;0;1.68;-1.2450071;240;160;128;36.35;412;1;NA;NA;173
44;9;9;M;N;2010;1;1;2.21;-1.40250537;190;114;85;NA;355;0;NA;19;104.65
45;2;5;M;B;2010;1;0;2.21;-1.40250537;215;138;100.5;NA;420;NA;33.56;20;978.92
46;12;10;M;N;2010;1;1;2.21;-1.40250537;153;78;56;NA;400;NA;23.49025974;15;NA
47;2;7;M;B;2010;1;0;2.21;-1.40250537;207;130;102.5;NA;452;NA;32.26;22;747.82
48;2;7;M;B;2010;1;0;2.21;-1.40250537;210;127.5;99;NA;422;NA;32.74;21;44.5
49;0;4;M;N;2010;1;1;2.21;-1.40250537;175.5;98.5;71;NA;370;0;NA;25;1174.8
50;13;13;M;B;2010;1;0;2.21;-1.40250537;232;151;118.5;NA;400;NA;36.31;17;651.07
