OffspringNUM;Sexo;Morph;deltaAGE;seqPLOTdelta
2;f;B;-5.625;1
1;f;B;-5;1
2;f;B;-4.571428571;1
2;f;B;-4.5;1
2;f;B;-4.375;1
2;f;B;-3.333333333;1
1;f;B;-3.333333333;1
1;f;B;-3.333333333;1
2;f;B;-3.166666667;1
2;f;B;-3;1
2;f;B;-3;1
3;f;B;-3;1
2;f;B;-3;1
2;f;B;-2.8;1
3;f;B;-2.625;1
1;f;B;-2.6;1
2;f;B;-2.6;1
2;f;B;-2.571428571;1
3;f;B;-2.375;1
1;f;B;-2.333333333;1
2;f;B;-2.333333333;1
3;f;B;-2.333333333;2
2;f;B;-2.25;2
2;f;B;-2.25;2
3;f;B;-2.166666667;2
2;f;B;-2;2
1;f;B;-2;2
0;f;B;-2;2
2;f;B;-2;2
2;f;B;-2;2
1;f;B;-1.75;2
2;f;B;-1.75;2
2;f;B;-1.666666667;2
3;f;B;-1.625;2
2;f;B;-1.5;2
0;f;B;-1.5;2
3;f;B;-1.5;2
3;f;B;-1.5;2
2;f;B;-1.5;2
1;f;B;-1.5;2
2;f;B;-1.375;2
3;f;B;-1.333333333;2
0;f;B;-1.333333333;3
1;f;B;-1.333333333;3
3;f;B;-1.333333333;3
2;f;B;-1.333333333;3
2;f;B;-1.333333333;3
0;f;B;-1.333333333;3
1;f;B;-1.25;3
1;f;B;-1.25;3
2;f;B;-1.2;3
3;f;B;-1.2;3
1;f;B;-1.166666667;3
3;f;B;-1;3
2;f;B;-1;3
2;f;B;-1;3
1;f;B;-1;3
2;f;B;-1;3
2;f;B;-1;3
2;f;B;-1;3
3;f;B;-1;3
2;f;B;-1;3
2;f;B;-1;3
2;f;B;-1;4
0;f;B;-1;4
0;f;B;-1;4
1;f;B;-1;4
0;f;B;-1;4
0;f;B;-1;4
1;f;B;-1;4
1;f;B;-1;4
2;f;B;-0.8;4
1;f;B;-0.75;4
1;f;B;-0.75;4
2;f;B;-0.625;4
3;f;B;-0.6;4
3;f;B;-0.571428571;4
2;f;B;-0.5;4
1;f;B;-0.5;4
2;f;B;-0.5;4
0;f;B;-0.5;4
2;f;B;-0.5;4
0;f;B;-0.5;4
3;f;B;-0.5;4
2;f;B;-0.5;5
3;f;B;-0.5;5
2;f;B;-0.5;5
1;f;B;-0.5;5
0;f;B;-0.5;5
2;f;B;-0.5;5
1;f;B;-0.5;5
2;f;B;-0.5;5
1;f;B;-0.5;5
2;f;B;-0.5;5
2;f;B;-0.5;5
1;f;B;-0.5;5
2;f;B;-0.375;5
3;f;B;-0.333333333;5
2;f;B;-0.333333333;5
2;f;B;-0.333333333;5
1;f;B;-0.333333333;5
3;f;B;-0.333333333;5
1;f;B;-0.333333333;5
2;f;B;-0.333333333;5
2;f;B;-0.333333333;5
3;f;B;-0.25;6
0;f;B;-0.25;6
2;f;B;-0.2;6
0;f;B;-0.166666667;6
1;f;B;0;6
0;f;B;0;6
1;f;B;0;6
1;f;B;0;6
1;f;B;0;6
2;f;B;0;6
2;f;B;0;6
2;f;B;0;6
3;f;B;0;6
1;f;B;0;6
2;f;B;0;6
2;f;B;0;6
1;f;B;0;6
2;f;B;0;6
2;f;B;0;6
2;f;B;0;6
2;f;B;0;6
0;f;B;0;7
2;f;B;0;7
1;f;B;0;7
1;f;B;0;7
2;f;B;0;7
0;f;B;0;7
1;f;B;0;7
3;f;B;0;7
1;f;B;0;7
1;f;B;0;7
1;f;B;0;7
2;f;B;0;7
0;f;B;0;7
1;f;B;0;7
0;f;B;0;7
0;f;B;0;7
2;f;B;0;7
0;f;B;0;7
0;f;B;0;7
1;f;B;0;7
0;f;B;0;7
1;f;B;0;8
2;f;B;0;8
0;f;B;0;8
1;f;B;0.2;8
1;f;B;0.25;8
2;f;B;0.25;8
0;f;B;0.333333333;8
3;f;B;0.375;8
2;f;B;0.5;8
2;f;B;0.5;8
2;f;B;0.5;8
0;f;B;0.5;8
1;f;B;0.5;8
2;f;B;0.5;8
1;f;B;0.5;8
2;f;B;0.5;8
0;f;B;0.5;8
0;f;B;0.5;8
1;f;B;0.5;8
2;f;B;0.5;8
2;f;B;0.5;8
0;f;B;0.5;9
0;f;B;0.5;9
0;f;B;0.5;9
2;f;B;0.625;9
2;f;B;0.666666667;9
3;f;B;0.666666667;9
1;f;B;0.666666667;9
1;f;B;0.75;9
0;f;B;0.75;9
1;f;B;0.75;9
2;f;B;0.75;9
3;f;B;0.8;9
2;f;B;1;9
2;f;B;1;9
1;f;B;1;9
2;f;B;1;9
2;f;B;1;9
3;f;B;1;9
2;f;B;1;9
0;f;B;1;9
2;f;B;1;9
1;f;B;1;10
3;f;B;1;10
0;f;B;1;10
1;f;B;1;10
1;f;B;1.2;10
2;f;B;1.428571429;10
3;f;B;1.5;10
0;f;B;1.5;10
2;f;B;1.625;10
2;f;B;1.666666667;10
2;f;B;1.666666667;10
2;f;B;1.666666667;10
1;f;B;1.666666667;10
0;f;B;1.666666667;10
0;f;B;1.666666667;10
0;f;B;1.75;10
1;f;B;1.8;10
2;f;B;2;10
2;f;B;2;10
1;f;B;2;11
1;f;B;2.2;11
2;f;B;2.25;11
1;f;B;2.25;11
0;f;B;2.375;11
2;f;B;2.4;11
2;f;B;2.625;11
0;f;B;2.666666667;11
2;f;B;2.666666667;11
0;f;B;2.666666667;11
0;f;B;2.75;11
1;f;B;2.833333333;11
3;f;B;3;11
3;f;B;3;11
2;f;B;3;11
1;f;B;3.375;11
3;f;B;4.428571429;11
1;f;B;4.5;11
1;f;B;5;11
0;f;N;-3.571428571;20
1;f;N;-3.5;20
2;f;N;-2.5;20
1;f;N;-2.5;21
2;f;N;-2.2;21
3;f;N;-1.5;21
2;f;N;-1.5;22
3;f;N;-1.2;22
0;f;N;-1;22
0;f;N;-1;23
1;f;N;-0.5;23
2;f;N;-0.5;23
2;f;N;-0.5;24
1;f;N;-0.5;24
2;f;N;-0.2;24
3;f;N;0;25
2;f;N;0;25
0;f;N;0;25
3;f;N;0.5;26
2;f;N;0.5;26
1;f;N;0.5;26
3;f;N;0.8;27
2;f;N;1;27
2;f;N;1;27
3;f;N;1.5;28
2;f;N;1.5;28
1;f;N;2.5;28
2;f;N;2.8;29
1;f;N;3.5;29
2;m;B;-6;30
1;m;B;-5.333333333;30
0;m;B;-5;30
2;m;B;-5;30
0;m;B;-4.857142857;30
3;m;B;-4.666666667;30
2;m;B;-4.142857143;30
2;m;B;-4;30
0;m;B;-3.857142857;30
0;m;B;-3.666666667;30
1;m;B;-3.6;30
2;m;B;-3.333333333;30
0;m;B;-3;30
0;m;B;-3;30
3;m;B;-3;30
1;m;B;-2.75;30
2;m;B;-2.666666667;30
3;m;B;-2.5;30
2;m;B;-2.333333333;30
3;m;B;-2.333333333;30
1;m;B;-2.25;30
3;m;B;-2.142857143;31
0;m;B;-2;31
1;m;B;-2;31
2;m;B;-2;31
0;m;B;-2;31
2;m;B;-2;31
2;m;B;-2;31
2;m;B;-2;31
0;m;B;-2;31
2;m;B;-2;31
1;m;B;-1.75;31
2;m;B;-1.75;31
2;m;B;-1.666666667;31
2;m;B;-1.666666667;31
2;m;B;-1.666666667;31
2;m;B;-1.666666667;31
1;m;B;-1.6;31
2;m;B;-1.6;31
1;m;B;-1.6;31
2;m;B;-1.5;31
3;m;B;-1.5;31
1;m;B;-1.5;32
3;m;B;-1.5;32
0;m;B;-1.333333333;32
3;m;B;-1.142857143;32
2;m;B;-1;32
2;m;B;-1;32
2;m;B;-1;32
1;m;B;-1;32
2;m;B;-1;32
0;m;B;-1;32
1;m;B;-1;32
1;m;B;-1;32
2;m;B;-1;32
3;m;B;-1;32
1;m;B;-1;32
1;m;B;-1;32
0;m;B;-1;32
0;m;B;-1;32
1;m;B;-1;32
1;m;B;-1;32
1;m;B;-1;32
2;m;B;-1;33
0;m;B;-1;33
2;m;B;-1;33
3;m;B;-1;33
1;m;B;-1;33
2;m;B;-1;33
1;m;B;-1;33
1;m;B;-1;33
0;m;B;-1;33
0;m;B;-1;33
0;m;B;-1;33
3;m;B;-0.857142857;33
1;m;B;-0.75;33
3;m;B;-0.666666667;33
2;m;B;-0.6;33
3;m;B;-0.6;33
1;m;B;-0.6;33
2;m;B;-0.5;33
0;m;B;-0.5;33
2;m;B;-0.5;33
2;m;B;-0.5;33
2;m;B;-0.5;34
2;m;B;-0.5;34
1;m;B;-0.5;34
2;m;B;-0.5;34
1;m;B;-0.5;34
0;m;B;-0.5;34
1;m;B;-0.5;34
1;m;B;-0.5;34
2;m;B;-0.5;34
1;m;B;-0.5;34
1;m;B;-0.5;34
0;m;B;-0.5;34
0;m;B;-0.5;34
2;m;B;-0.5;34
1;m;B;-0.25;34
3;m;B;-0.142857143;34
2;m;B;0;34
2;m;B;0;34
2;m;B;0;34
2;m;B;0;34
1;m;B;0;34
2;m;B;0;35
2;m;B;0;35
2;m;B;0;35
2;m;B;0;35
1;m;B;0;35
2;m;B;0;35
2;m;B;0;35
2;m;B;0;35
2;m;B;0;35
2;m;B;0;35
0;m;B;0;35
2;m;B;0;35
0;m;B;0;35
0;m;B;0;35
0;m;B;0;35
1;m;B;0;35
2;m;B;0;35
3;m;B;0;35
0;m;B;0;35
1;m;B;0;35
1;m;B;0;35
2;m;B;0;36
1;m;B;0;36
2;m;B;0;36
0;m;B;0;36
1;m;B;0;36
3;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
2;m;B;0;36
2;m;B;0;36
0;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
1;m;B;0;36
2;m;B;0;36
0;m;B;0;36
1;m;B;0;37
0;m;B;0;37
0;m;B;0;37
1;m;B;0;37
3;m;B;0.142857143;37
3;m;B;0.25;37
2;m;B;0.333333333;37
2;m;B;0.333333333;37
1;m;B;0.333333333;37
1;m;B;0.333333333;37
1;m;B;0.333333333;37
2;m;B;0.4;37
0;m;B;0.4;37
1;m;B;0.4;37
0;m;B;0.4;37
3;m;B;0.5;37
2;m;B;0.5;37
1;m;B;0.5;37
2;m;B;0.5;37
2;m;B;0.5;37
2;m;B;0.5;37
3;m;B;0.5;38
3;m;B;0.5;38
2;m;B;0.5;38
2;m;B;0.5;38
2;m;B;0.5;38
2;m;B;0.5;38
3;m;B;0.5;38
2;m;B;0.666666667;38
2;m;B;0.666666667;38
2;m;B;0.666666667;38
2;m;B;0.75;38
2;m;B;0.857142857;38
3;m;B;1;38
3;m;B;1;38
0;m;B;1;38
2;m;B;1;38
2;m;B;1;38
3;m;B;1;38
0;m;B;1;38
1;m;B;1;38
3;m;B;1;38
1;m;B;1;39
1;m;B;1;39
2;m;B;1;39
